"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
501,"id_644",0.48,0.2,1.7,1.81,24.45,10.84,93.2,4.8,2,"SAND",91.2,8.8,0,"SAND",25.0172739,-17.1404167,22.8166664441427,672,0
502,"id_458",1.84,0.2,1.6,1.78,90.2,10.66,77.2,4.4,18.4,"LOAMY SAND",72.8,2.4,24.8,"LOAMY SAND",24.98220697,-16.40321281,21.4749999046326,744,0
503,"id_494",0.4,0.32,1.3,1.35,15.22,12.96,90.8,4,5.2,"SAND",81.2,4,14.8,"LOAMY SAND",25.2083466,-16.91089699,22.375,697,7
504,"id_447",1.16,0.08,1.1,1.47,38.74,3.52,80.8,6,13.2,"LOAMY SAND",85.2,0,14.8,"SAND",24.89670429,-16.43588061,21.3416668574015,750,3
505,"id_465",0.36,0.32,1.4,1.45,15.23,13.92,92.8,2,5.2,"SAND",83.2,0,16.8,"LOAMY SAND",24.8497149,-16.42634016,21.4666668574015,749,4
506,"id_532",3.44,0.16,1.7,1.9,176.17,9.12,84.8,2,13.2,"LOAMY SAND",83.2,4,12.8,"LOAMY SAND",24.79995272,-16.4983619,21.5166664123535,740,1
507,"id_546",0.24,0.12,1.3,1.38,9.26,4.98,92.2,6.8,1,"SAND",87.8,8.8,3.4,"LOAMY SAND",24.67264082,-16.4774907,21.5666664441427,741,4
508,"id_549",0.24,0.16,1.4,1.4,9.97,6.71,90.2,6.8,3,"SAND",87.8,8.8,3.4,"LOAMY SAND",24.64649032,-16.52416543,21.6083331108093,737,1
509,"id_551",0.52,0.24,1.4,1.39,21.63,10.01,90.2,6.8,3,"SAND",85.8,8.8,5.4,"LOAMY SAND",24.7222424,-16.480739,21.7333334287008,733,0
510,"id_570",1.84,0.12,1.4,1.46,77.58,5.26,73.2,4.8,22,"SANDY LOAM",90.8,2.8,6.4,"SAND",24.76438703,-16.44817554,21.5499997138977,747,7
511,"id_574",3.2,0.64,1.2,1.48,113.13,28.49,77.2,2.8,20,"LOAMY SAND",90.8,0.8,8.4,"SAND",24.59179599,-16.48788939,21.6916667620341,736,3
512,"id_575",1.56,0.08,1.1,1.85,49.58,4.45,71.2,4.8,24,"SANDY LOAM",90.8,2.8,6.4,"SAND",24.61494517,-16.44962224,21.8000000317891,732,1
513,"id_586",0.8,0.52,1.7,1.7,40.94,26.5,87.2,4.8,8,"LOAMY SAND",88.8,2.8,8.4,"SAND",24.67638784,-16.52775672,21.8416666984558,726,1
514,"id_593",3.52,0.12,1.6,1.99,169,7.16,85.2,4.8,10,"LOAMY SAND",82.8,6.8,10.4,"LOAMY SAND",24.56267517,-16.49508063,21.8666667938232,728,1
515,"id_504",0.36,0.32,1.5,1.6,16.39,15.39,96.4,2,1.6,"SAND",73.6,6,20.4,"SANDY LOAM",24.96475145,-16.81252996,21.9666666984558,710,8
516,"id_292",0.48,0.2,1.6,1.82,23.65,10.9,98.4,0,1.6,"SAND",73.6,8,18.4,"SANDY LOAM",24.88604943,-17.03359869,22.2833331425985,680,0
517,"id_339",0.4,0.24,1.3,1.36,15.24,9.79,96.4,2,1.6,"SAND",75.6,6,18.4,"SANDY LOAM",24.83332419,-16.96932336,22.0333333015442,705,6
518,"id_506",0.28,0.28,1.3,1.33,11.17,11.17,96.4,2,1.6,"SAND",73.6,6,20.4,"SANDY LOAM",24.93871544,-16.82570785,21.9416666030884,706,4
519,"id_623",0.16,0.08,1.2,1.33,5.65,3.19,95.6,2.8,1.6,"SAND",82.4,1.8,15.8,"LOAMY SAND",24.73795846,-16.68542868,21.8833332061768,717,4
520,"id_569",0.24,0.12,1.4,1.73,10.31,6.22,89.4,4.8,5.8,"SAND",48.6,20.8,30.6,"LOAM",24.75336818,-16.60893177,21.7000001271566,731,0
521,"id_650",0.32,0.28,1.6,1.73,15.7,14.52,97.4,0.8,1.8,"SAND",76.6,0.8,22.6,"LOAMY SAND",24.63311098,-16.68982566,21.8833332061768,715,2
522,"id_308",1.24,0.24,1.4,1.79,52.55,12.9,90.8,5,4.2,"SAND",92.8,5,2.2,"SAND",24.76382188,-16.90694889,21.9166666666667,704,2
523,"id_316",0.56,0.4,1.5,1.61,24.73,19.34,92.8,4,3.2,"SAND",92.8,5,2.2,"SAND",24.75393211,-16.95789609,22.0333334604899,701,4
524,"id_597",0.48,0.36,1.5,1.79,21.91,19.35,94.4,1,4.6,"SAND",94.4,1,4.6,"SAND",24.74876849,-16.78377036,21.8416668574015,715,0
525,"id_344",0.6,0.36,1.1,1.32,20.16,14.26,80.8,7.6,11.6,"LOAMY SAND",84.8,5.6,9.6,"LOAMY SAND",24.92336007,-17.24477278,22.9416666030884,662,0
